序号,设备名称,数量,报价(元),品牌,市场调研价格(元),价格差异(元),差异率,评估结论,建议
1,电感耦合等离子体发射光谱仪(ICP-OES),1,1803000,谱育科技,1000000-1400000,400000-800000,29-57%,严重偏高,国产谱育EXPEC 6000/6100系列市场价100-140万，报价接近进口PerkinElmer水平
2,原子荧光光度计,1,325000,海光,150000-250000,75000-175000,30-70%,偏高,海光AFS-8500/8520市场价15-25万，中标价普遍在10-20万区间
3,总有机碳分析仪(TOC),1,418500,科创星,100000-200000,218500-318500,109-159%,严重偏高,国产TOC分析仪市场价10-20万(博取、聚光)，进口岛津20-30万
4,紫外可见分光光度计(双光束),1,70000,谱析,40000-60000,10000-30000,17-43%,略高,国产双光束分光光度计市场价4-6万
5,红外分光测油仪,1,165000,华夏科创,100000-150000,15000-65000,10-43%,略高,国产测油仪市场价10-15万
6,微波消解仪,1,105600,屹尧,80000-120000,-14400至25600,-12%至20%,合理,国产微波消解仪市场价8-12万，价格正常
7,COD消解仪,1,6000,连华,4000-8000,-2000至0,-25%至0%,合理,国产COD消解仪市场价4-8千，价格正常
8,BOD测定仪+培养箱,1,25000,盛奥华,18000-28000,-3000至7000,-11%至25%,合理,国产BOD测定仪市场价1.8-2.8万
9,生物安全柜(二级),1,65000,美菱,40000-70000,-5000至25000,-7%至36%,略高,国产二级生物安全柜市场价4-7万
10,高压蒸汽灭菌器,1,6800,博迅,5000-10000,-1200至1800,-18%至26%,合理,国产灭菌器市场价5千-1万
11,超纯水机,1,35000,中扬,25000-45000,-10000至0,-22%至0%,合理,国产超纯水机市场价2.5-4.5万
12,通风柜,3,63000(21000/台),哈东联,15000-25000(5000-8000/台),-12000至-18000,-57%至-36%,偏高,全钢通风柜市场价5000-1.2万/台，报价2.1万/台明显偏高
13,台式pH计,1,3380,仪电,2000-3500,-120至1380,-4%至41%,略高,实验室台式pH计市场价2-3.5千
14,高精度电导率仪,1,6900,仪电,4000-7000,-100至2900,-1%至42%,略高,电导率仪市场价4-7千
15,生化培养箱,1,11800,泰斯特,8000-15000,-3200至3800,-21%至32%,合理,国产生化培养箱市场价8千-1.5万
16,超声波清洗器,1,10500,舒美,6000-12000,-1500至4500,-13%至43%,略高,国产超声波清洗器市场价6千-1.2万
17,水浴锅,2,3000(1500/台),泰斯特,800-1500(400-750/台),0至700,0%至47%,略高,实验室水浴锅市场价400-800元/台
18,冷藏冰箱(0-4℃),2,40000(20000/台),美菱,8000-15000(4000-7500/台),25000至32000,125%至213%,严重偏高,实验室冷藏冰箱市场价4千-8千/台，报价2万/台极不合理
19,防爆冷藏柜,1,28000,英鹏,15000-25000,3000至13000,12%至46%,略高,防爆冷藏柜市场价1.5-2.5万
20,电子天平(0.1mg),1,5200,恒平,4000-7000,-1800至1200,-26%至23%,合理,万分之一电子天平市场价4-7千
21,玻璃器具、试剂容器,16,320000(20000/套),北玻,30000-80000(2000-5000/套),240000至290000,300%至725%,严重偏高,实验室基础玻璃器皿一套市场价2-5千元，报价2万/套极其离谱
22,试管架、吸管架等辅助器皿,8,24000(3000/套),北玻,5000-15000(600-1800/套),9000至19000,60%至127%,严重偏高,辅助器皿市场价几百到一两千
23,温湿度监控系统,6,360000(60000/个),建大仁科,3000-15000(500-2500/个),345000至357000,5750%至11900%,极度离谱,建大仁科温湿度传感器市场价几百到几千，报价6万/个是抢钱
24,UPS不间断电源,1,60000,山特,150000-250000,-190000至-90000,-76%至-36%,严重偏低,50kW UPS市场价15-25万，6万要么是功率虚标要么是假货/简化版
25,其他小型设备,-,-,-,-,-,-,-,,
总计,,3960680,,,2800000-3200000,760000至1160680,24%至37%,整体虚高,整体报价虚高20-40%，主要问题在大仪器、温湿度监控、玻璃器皿
